,term,definition
282,Secured Loan,"A loan backed by collateral, such as auto loans or appliance financing."
283,Settlement,"An agreement to pay a debt for less than the total amount due, which can negatively impact credit scores."
284,Social Security Number (SSN),A nine-digit number used to track Social Security savings and identify accounts. Non-US citizens use an ITIN instead.
285,Soft Inquiry,"A credit check that does not harm credit scores, such as checking your own report or employment-related requests."
286,Subprime Borrower,A borrower with poor credit (score under 650) who qualifies for loans at higher interest rates or with special terms.
287,Tax Lien,A claim against property or assets for unpaid taxes.
288,Teletrack,"A credit reporting system tracking subprime borrowers or those without official credit, using data like payday loans or rent payments."
289,Tradeline,"An account listed on a credit report, detailing payment history, balances, limits, and dates."
290,Transaction Fees,"Fees for specific transactions, such as cash advances on credit cards."
291,TransUnion,"One of the three national credit bureaus, operating TrueCredit and FreeCreditProfile brands."
292,TRW,A former credit reporting agency now part of Experian.
293,Universal Default Clause,"A now-banned policy allowing creditors to increase interest rates if a borrower made late payments on any account, not just theirs."
294,Universal Default Rate,"A policy outlawed in 2009 that punished borrowers for late payments on any account, often used by credit card companies."
295,Unsecured Debt,"A loan without collateral, such as most credit card accounts."
296,Unsecured Loan,"A loan not backed by collateral, guaranteed only by the borrowers promise to repay."
297,Utilization Ratio,"The ratio of outstanding balances to credit limits, showing how much available credit is being used."
298,Variable Expenses,"Monthly expenses with inconsistent amounts, such as credit card bills, groceries, or utility bills."
299,Variable Rate,"An adjustable rate tied to an economic index, such as prime rate plus 3%, adjusting as the index changes."
300,30-Day Yield,"A standard yield calculation developed by the Securities and Exchange Commission for bond funds. The yield is calculated by dividing the net investment income per share earned during the 30-day period by the maximum offering price per share on the last day of the period. The yield figure reflects the dividends and interest earned during the 30-day period, after the deduction of the fund's expenses. It is sometimes referred to as ""SEC 30-Day Yield"" or ""standardized yield""."
301,30-Day Yield Without Subsidy,"The 30-day yield without applicable waivers or reimbursements, whenever the fund is subsidizing all or a portion of the fund's expenses as of the current reporting period. Absent such waivers or reimbursements, the returns would have been lower. Waivers and/or reimbursements may be discontinued any time."
302,7-Day Yield,The annualized rate of income paid to shareholders over the past seven days.
303,7-Day Yield Without Subsidy,"The 7-day yield without applicable waivers or reimbursements, whenever the fund is subsidizing all or a portion of the fund's expenses as of the current reporting period. Absent such waivers or reimbursements, the returns would have been lower. Waivers and/or reimbursements may be discontinued any time."
304,Active Management,"The trading of securities to take advantage of market opportunities as they occur, with the goal of outperforming an investment benchmark index. Active managers rely on research, market forecasts, and their own judgment and experience in selecting securities to buy and sell."
305,Aggressive,An investment approach that accepts above-average risks in return for potentially above-average investment returns.
306,Aggressive Allocation,"Aggressive-allocation portfolios seek to provide both capital appreciation and income by investing in three major areas: stocks, bonds, and cash. These portfolios tend to hold larger positions in stocks than moderate-allocation portfolios. These portfolios typically have 70% to 90% of assets in equities and the remainder in fixed income and cash."
307,Aggressive Growth,"Funds in this objective seek rapid growth of capital. They often invest in small or emerging growth companies and are more likely than other funds to invest in initial public offerings (IPOs) and in companies with high price/earnings and price/book ratios. Aggressive growth funds may also use such investment techniques as heavy sector concentrations, leveraging, and short-selling."
308,Alpha,"Measures risk-adjusted performance. A positive Alpha indicates stronger performance than predicted by the fund's level of risk (measured by Beta). A negative Alpha represents weaker performance than predicted by a fund's Beta. Alpha and Beta are more reliable measures when used in combination with a high R2, which indicates a high correlation between the movements in a fund's returns and the movements in its benchmark. Alpha is annualized."
310,American Depositary Receipt (ADR),A negotiable receipt representing a specific number of equity shares in a foreign corporation. ADRs trade in American dollars in the American securities markets like domestic equities.
311,American Depositary Shares (ADS),"A trading unit for the issuer in the U.S. which may represent more or less than one underlying share of the issuer. ADSs are issued in New York in registered form, eligible for trading and clearing in the U.S. markets, and may be made eligible for clearing outside the U.S. in Euroclear and CEDEL."
312,Annual Report,"A yearly report or record of an investment's (e.g., mutual fund or stock) or company's financial position and operations."
313,Annuity,"A form of insurance contract that provided a steady stream of periodic payments, typically for life.  An annuity can be fixed or variable. A fixed annuity pays a set rate of interest that is adjusted periodically, while a variable annuity's payments are dependent on the performance of the underlying investment chosen by the annuitant."
314,Appreciation,An increase in the value of an investment.
317,Asset Allocation Funds,"Asset allocation funds have the ability to shift assets among asset classes (for example stocks (equities), bonds, and short-term investments). Asset allocation funds take the concept of a private asset manager - a skilled professional who builds and manages a comprehensive portfolio for a client - and apply it to a mutual fund."
319,Asset-backed Securities,"Bonds or notes backed by loan paper or accounts receivable originated by banks, credit card companies, or other providers of credit and often ""enhanced"" by a bank letter of credit or by insurance coverage provided by an institution other than the issuer."
320,Assets Covered,"Reported in Composition, this is the percentage of the portfolio's equity assets for which the corresponding portfolio characteristic is provided."
321,Auction Market,"A market for securities, typically found on a national securities exchange, in which trading in a particular security is conducted at a specific location with all qualified persons at that post able to bid or offer securities against orders via outcry."
322,Average Annual Total Return,"Average annual total return is a hypothetical rate of return that, if achieved annually, would have produced the same cumulative total return if performance had been constant over the entire period. Average annual total returns smooth out variation in performance; they are not the same as actual year-by-year results."
323,Back End Load,"A fee imposed by some funds when shares are redeemed (sold back to the fund) during the first few years of ownership.  The fee is calculated based on the value of the shares being sold. Many Back End Loads are progressive, meaning that the longer you hold the shares in the fund, the lower the fee becomes until in some cases it is eliminated altogether. A fee imposed by some funds when shares are redeemed (sold back to the fund) during the first few years of ownership."
324,Balanced,Balanced funds seek both income and capital appreciation by investing in a generally fixed combination of stocks and bonds. These funds generally hold a minimum of 25% of their assets in fixed-income securities at all times.
325,Bank Loan,"Bank-loan portfolios primarily invest in floating-rate bank loans instead of bonds. In exchange for their credit risk, these loans offer high interest payments that typically float above a common short-term benchmark such as the London Interbank Offered Rate, or LIBOR."
326,Basis Point,"One-hundredth of one percent, or 0.01%. For example, 20 basis points equal 0.20%. Investment expenses, interest rates and yield differences among bonds are often expressed in basis points."
328,Benchmark,"A standard against which the performance of a security, mutual fund or investment manager can be measured. Some well-known benchmarks are the Dow Jones Industrial Average and the S&P 500 Index."
330,Beta,"A historical measure of a fund's sensitivity to market movements calculated by comparing a fund's monthly returns, over 36 months, to those of the fund's benchmark. By definition, the Beta of the benchmark is 1.0. A Beta of less than 1.0 indicates that the fund is less sensitive to market movements, while a Beta greater than 1.0 indicates a fund that tends to be more sensitive to market movements. For example, a beta of 1.5 for a domestic stock fund indicates that over the last three years, the fund's monthly returns have fluctuated 50 percent more than the fund's benchmark, assuming that no other factors have affected the fund's returns. Generally, the higher the correlation between the fund and the market (as measured by R2), the more meaningful a Beta is. Because Beta is based on measurements of past performance, it is not an indication of what the fund's performance will be in the future."
331,Bill (Treasury or T-Bill),A government security with a maturity of a year or less.
332,Blue Chip Stocks,"Stocks of well-established companies that have had a history of earnings and dividend payments, as well as a reputation for sound management and quality of products and services. While not all large cap stocks are blue chip stocks, there is usually a large cap bias to blue chip stocks."
334,Bond Funds,A fund that invests primarily in bonds and other debt instruments.
335,Bond Rating,"A rating or grade that is intended to indicate the credit quality of a bond, considering the financial strength of its issuer and the likelihood that it will repay the debt. Agencies such as Standard & Poor's and Moody's Investors Service issue ratings for different bonds, ranging from AAA (highly unlikely to default) to D (in default)."
336,Broadly Diversified International Equity Funds,"Broadly diversified international equity funds generally fall into two categories: international funds, which do not invest in U.S. securities, and global funds, which invest anywhere in the world, including the U.S. Although they are both considered more aggressive than most domestic equity funds, broadly diversified funds are often considered to be a ""less aggressive"" type of international fund because of their typical emphasis on diversification within established markets. With these funds, risk is spread out across an expansive geographic area rather than concentrated in a single region or country. These funds are used by many investors to form the foundation of the international component of their portfolio."
338,Brokerage Window,A plan feature that permits participants to purchase investments that are not included among the plan's general menu of investment options.
339,Capital Appreciation,"If the value of an investment appreciates and you sell it at a higher price than you paid, you earn a profit, also known as a capital gain. If you sell shares at a lower price than you paid for them, you'll have a capital loss."
342,Capital Market,The market where securities such as stocks and bonds are traded.
343,Capital Preservation,An investment goal or objective to keep the original investment amount (the principal) from decreasing in value.
344,Capitalization or Cap,The total market value of a company's outstanding equity.
345,Cash & Other Category,"A mutual fund asset allocation theory that includes net cash, short-term securities, and any other securities (such as options) not included in other asset allocation categories."
346,Category Risk Learn More,"Morningstar assigns Category Risk Level to each group of mutual funds that invest in the same types of assets. These scores range from 1, for funds with the least amount of relative risk, to 10, for funds with the greatest amount. 


In determining the Category Risk Level, the scores based on the Morningstar Risk are reviewed by Morningstar's Research Committee. The Committee reviews the preliminary output, and makes changes where necessary, to ensure that the final scores are logically consistent and are updated to reflect current market conditions.


How Morningstar Calculates Category Risk Scores:

The first step is to determine the average Morningstar Risk for each category over the previous five years. Morningstar Risk is the difference between the Morningstar Return (excess total return over the risk free rate, adjusted for loads) and the Morningstar Risk Adjusted Return (excess total return over the risk free rate, adjusted for loads and risk). Risk is measured by the variations in a fund's  monthly total returns during the period, with greater risk leading to a lower risk-adjusted return.  The Morningstar Return and Morningstar Risk Adjusted Returns for each Category are found using equal weighted average of the total returns of all the funds in the category for a certain time period.  

The category's Morningstar Risk is then used as the starting point for the Category Risk Level assignments. Assignments can be modified in one of two ways. One method of modification is by logic. For instance, if one municipal bond category falls just across the dividing line from another municipal bond category, even though both invest in very similar types of assets, both categories are adjusted so that they are given the same risk assignment. They may also be adjusted by judgment. One example of this would be Long-Short Market Neutral stock funds. Although these funds tend to show very low risk scores based solely on the variations in their returns, the complexity of their strategies suggests that they should receive a higher risk score than the raw data indicates. In this case, the Category Risk score is adjusted accordingly."
347,CEDEL,An international clearing system that provides book-entry settlement and custody for certain instruments.
348,China Region,"China-region stock portfolios invest almost exclusively in stocks from China, Taiwan, and Hong Kong. These portfolios invest at least 70% of total assets in equities and invest at least 75% of stock assets in one specific region or a combination of China, Taiwan, and/or Hong Kong."
349,Class Inception,The date on which a specific share class of a fund opens to investors.
350,Closed-End Fund,A fund that does not issue and redeem shares. Closed funds are usually traded on a stock exchange.
351,Collateral Trust Bond,"Corporate debt security backed by other securities, usually held by a bank or other trustee. Such bonds are backed by collateral trust certificates and are usually issued by parent corporations that are borrowing against the securities of wholly owned subsidiaries."
352,Collateralized Mortgage Obligation (CMO),A mortgage-backed bond that separates mortgage pools into different maturity classes called tranches. This is accomplished by applying income (payments of principal and interest) from mortgages in the pool in the order the CMO's pay out.
353,Collective or Commingled Trust,"Investments created especially for employee benefit plans, such as 401(k) plans, that commingle the assets of qualified retirement plans for investment purposes. They are not available to the general public and therefore are not listed in the newspaper or others sources, and are not registered with the SEC."
354,Commission,A fee imposed when investments are bought or sold to compensate the broker or other salesperson for his or her role in the transaction.
355,Commodities Agriculture,"Agriculture portfolios invest in grain and feed products, oilseeds, cotton, dairy, livestock, poultry, and/or horticultural products. Investment can be made directly in physical assets or commodity-linked derivative instruments."
356,Commodities Broad Basket,"Broad-basket portfolios can invest in a diversified basket of commodity goods including but not limited to grains, minerals, metals, livestock, cotton, oils, sugar, coffee, and cocoa. Investment can be made directly in physical assets or commodity-linked derivative instruments, such as commodity swap agreements."
357,Commodities Energy,"Energy portfolios invest in oil (crude, heating, and gas), natural gas, coal, kerosene, diesel fuel, and propane. Investment can be made directly in physical assets or commodity-linked derivative instruments."
358,Commodities Industrial Metals,"Industrial-metals portfolios invest in such industrial metals as aluminum, copper, lead, nickel, and zinc. Investment can be made directly in physical assets or commodity-linked  derivative instruments."
359,Commodities Miscellaneous,Miscellaneous portfolios invest in a specific commodity that does not fit into any of Morningstar's existing commodity categories and for which not enough funds exist to merit the creation of a separate category.
360,Commodities Precious Metals,"Commodities precious-metals portfolios invest in precious metals such as gold, silver, platinum, and palladium. Investment can be made directly in physical assets or commodity-linked derivative instruments."
361,Commodity Instruments,"Securities that can be used to approximate the behavior of specific commodities. These include forwards, swaps, short-duration futures contracts, or derivatives. They are often used to hedge exposure to actual physical commodities."
362,Common Stocks,"Stocks represent a share in the ownership of a particular company. If the company does well, the value of each share generally goes up. Although common stocks have a history of long-term growth, their prices fluctuate based on changes in a company's financial condition and on overall market and economic conditions."
363,Communications,"Communications portfolios concentrate on telecommunications and media companies of various kinds. Most buy some combination of cable television, wireless-communications, and communications-equipment firms as well as traditional phone companies. A few favor entertainment firms, mainly broadcasters, film studios, publishers, and online service providers."
364,Company Stock,A plan investment option which invests primarily in employer securities and which may also maintain a cash position for liquidity purposes.
365,Competing Fund,A plan investment option that is identified by the investment manager of another option and which is subject to special rules relating to a participant's ability to buy and sell investments between the two investment options directly.
366,Composition,"This quantifies the securities held by the fund. Composition can be broken down into asset type, sector, and individual security. Composition may also show the weight, or percentage of the overall portfolio, for each holding."
367,Composition by Instrument,The makeup of a fund's portfolio expressed in terms of asset allocation and industry and sector diversification.
368,Composition by Quality,"Fidelity:
Credit ratings for a rated issuer or security held by our investment grade taxable and municipal bond funds and multi-asset class funds with a fixed income component, are categorized using the highest credit rating among the following three Nationally Recognized Statistical Rating Organizations (NRSRO): Moody's Investors Service (Moody's); Standard & Poor's Ratings Services (S&P); or Fitch, Inc. Credit ratings for a rated issuer or security held by our non-investment grade bond funds which include multi-asset class bond funds using a composite benchmark with more than half of its target allocation in high yield or emerging market debt, and real estate, emerging market debt and convertible security funds, are categorized using Moody's. If Moody's does not publish a rating for a security or issuer, then the S&P rating is used. When S&P and Moody's provide different ratings for the same issuer or security, the Moody's rating is used. For all funds, if none of these three NRSROs publishes a rating on the issuer or security, then the security is categorized as Not Rated. All U.S. government securities are included in the U.S. Government category. The table information is based on the combined investments of the fund and its pro rata share of any investments in other Fidelity funds.

Non-Fidelity:
Data provided by Morningstar, who surveys fund companies for the credit rating information on the funds underlying securities holdings on a periodic basis. Morningstar instructs fund companies to only use ratings that have been assigned by a Nationally Recognized Statistical Rating Organizations (NRSRO). If three or more NRSROs have rated the same security differently, fund companies are to report the middle rating; if two NRSROs have rated a security differently, fund companies are to report the lowest rating; if only one NRSRO has rated a security, fund companies are to report that rating. Securities not rated by an NRSRO are to be included in the Not Rated category. All U.S. Government Securities are included in the AAA category. If an NRSRO provides Morningstar with a short-term issue credit rating rather than a traditional fixed income credit rating for a cash security, Morningstar will translate that short-term issue rating to an equivalent fixed income credit rating as reflected in the Credit Quality Breakdown chart. Morningstar is not itself an NRSRO nor does it issue a credit rating on the fund or any securities held by the fund.

For Money Market Funds:
A Tier 1 security is a money market fund eligible security whose credit rating falls in the highest short-term rating category of the Nationally Recognized Statistical Rating Organizations. An unrated security is Tier 1 if it represents comparable quality to a rated security as defined by SEC Rule 2a-7 under the Investment Company Act of 1940. A Tier 2 Security is a money market fund eligible security that is not a Tier 1 security."
369,Compounding,"The cumulative effect that reinvesting earnings on an investment may have by generating additional earnings of their own, in addition to any earnings generated by the original investment."
370,Conservative,An investment approach that accepts lower rewards in return for potentially lower risks.
371,Conservative Allocation,"Conservative-allocation portfolios seek to provide both capital appreciation and income by investing in three major areas: stocks, bonds, and cash. These portfolios tend to hold smaller positions in stocks than moderate-allocation portfolios. These portfolios typically have 20% to 50% of assets in equities and 50% to 80% of assets in fixed income and cash."
372,Consumer Cyclical,Consumer cyclical portfolios seek capital appreciation by investing in equity securities of U.S. or non-U.S. companies in the consumer cyclical sector.
373,Consumer Defensive,"Consumer defensive portfolios seek capital appreciation by investing in equity securities of U.S. or non-U.S. companies that are engaged in the manufacturing, sales, or distribution of consumer staples."
374,Contingent Beneficiary,Anyone designated to receive a death benefit in the event of the death of the primary beneficiary. Also referred to as a secondary beneficiary.
375,Contingent Deferred Sales Charge (CDSC),A fee imposed when shares of a mutual fund or a variable annuity contract are redeemed (sold) during the first few years of ownership. Also called a back-end load.
376,Convertible Bond,"A corporate bond, usually a junior subordinated debenture, that can be exchanged for shares of the issuer's common stock."
377,Convertibles,"Convertible-bond portfolios are designed to offer some of the capital-appreciation potential of stock portfolios while also supplying some of the safety and yield of bond portfolios. To do so, they focus on convertible bonds and convertible preferred stocks. Convertible bonds allow investors to convert the bonds into shares of stock, usually at a preset price. These securities thus act a bit like stocks and a bit like bonds."
378,Convexity,A mathematical concept that measures the sensitivity of the market price of a bond to changes in interest rates.
379,Corporate Bond,"A bond issued by a corporation, rather than by a government. The credit risk for a corporate bond is based on the payment ability of the company that issued the bond. Credit risk is in addition to other risks associated with fixed-income investments such as inflation risk and interest rate risk."
380,Correlation Measures,"Measures that show the validity of a comparison between a portfolio and a benchmark, based on the historical relationship between portfolio returns and index returns."
381,Country Diversification,"Holdings are presented to illustrate examples of the countries or regions which the fund may invest, and may not be representative of the fund's current or future investments. Percentages are displayed for the top sectors as of the countries or regions as of the date stated. Percentages shown describe the portion of the fund's total net assets, unless otherwise stated."
382,Coupon Rate,The annual rate of interest payable on a debt security expressed as a percentage of the principal amount.
383,Coupon Yield,(see Nominal Yield).
384,Credit Quality,"Fidelity:
Credit ratings for a rated issuer or security held by our investment grade taxable and municipal bond funds and multi-asset class funds with a fixed income component, are categorized using the highest credit rating among the following three Nationally Recognized Statistical Rating Organizations (NRSRO): Moody's Investors Service (Moody's); Standard & Poor's Ratings Services (S&P); or Fitch, Inc. Credit ratings for a rated issuer or security held by our non-investment grade bond funds which include multi-asset class bond funds using a composite benchmark with more than half of its target allocation in high yield or emerging market debt, and real estate, emerging market debt and convertible security funds, are categorized using Moody's. If Moody's does not publish a rating for a security or issuer, then the S&P rating is used. When S&P and Moody's provide different ratings for the same issuer or security, the Moody's rating is used. For all funds, if none of these three NRSROs publishes a rating on the issuer or security, then the security is categorized as Not Rated. All U.S. government securities are included in the U.S. Government category. The table information is based on the combined investments of the fund and its pro rata share of any investments in other Fidelity funds.

Non-Fidelity:
Data provided by Morningstar, who surveys fund companies for the credit rating information on the funds underlying securities holdings on a periodic basis. Morningstar instructs fund companies to only use ratings that have been assigned by a Nationally Recognized Statistical Rating Organizations (NRSRO). If three or more NRSROs have rated the same security differently, fund companies are to report the middle rating; if two NRSROs have rated a security differently, fund companies are to report the lowest rating; if only one NRSRO has rated a security, fund companies are to report that rating. Securities not rated by an NRSRO are to be included in the Not Rated category. All U.S. Government Securities are included in the AAA category. If an NRSRO provides Morningstar with a short-term issue credit rating rather than a traditional fixed income credit rating for a cash security, Morningstar will translate that short-term issue rating to an equivalent fixed income credit rating as reflected in the Credit Quality Breakdown chart. Morningstar is not itself an NRSRO nor does it issue a credit rating on the fund or any securities held by the fund.

For Money Market Funds:
A Tier 1 security is a money market fund eligible security whose credit rating falls in the highest short-term rating category of the Nationally Recognized Statistical Rating Organizations. An unrated security is Tier 1 if it represents comparable quality to a rated security as defined by SEC Rule 2a-7 under the Investment Company Act of 1940. A Tier 2 Security is a money market fund eligible security that is not a Tier 1 security."
385,Credit Rating,"An assessment of the credit worthiness of individuals and corporations based upon the history of borrowing and repayment, as well as the availability of assets and the extent of liabilities."
386,Credit Risk,"The risk that a bond issuer will default, meaning not repay principal or interest to the investor as promised. Credit risk is also known as ""default risk""."
387,Cumulative Total Returns,Cumulative total return reflects actual performance over a stated period of time.
388,Currency,"Currency portfolios invest in multiple currencies through the use of short-term money market instruments; derivative instruments including and not limited to forward currency contracts, index swaps, and options; and cash deposits. These funds include both systematic currency traders and discretionary traders."
389,Currency Diversification,"The different currencies, expressed as a percentage, in which the fund's assets are issued."
390,Currency Fluctuations,Changes in the value of a currency in relationship to other major currencies. Currency fluctuations can have a significant effect on the value of international mutual funds.
391,Currency Risk,The risk that shifts in foreign exchange rates may undermine the dollar value of overseas investments.
392,Current Income,Monies paid during the period an investment is held. Examples include bond interest and stock dividends.
393,Current Yield,"The ratio of a bond's interest rate or coupon to its current market price, shown as a percentage.
Current Yield=Coupon Rate / Current Market Value."
394,CUSIP,"An identification number assigned to mutual funds, stocks and registered bonds by the Committee on Uniform Security Identification Procedures."
395,Custodian,"A person or entity (e.g., bank, trust company, or other organization) responsible for holding financial assets."
396,Cyclicals,"Stocks issued by companies whose business prospects are tied to economic cycles. For example, steel companies often do poorly in a recession, when consumers are buying fewer large items, such as cars and refrigerators."
397,Dealer,"An individual or entity that buys and sells securities for its own account. Since most brokerage firms operate both as brokers and as dealers, the term broker-dealer is commonly used."
398,Deflation,The opposite of inflation - a decline in the prices of goods and services.
399,Denomination,The face amount or par value of a security which the issuer promises to pay on the maturity date.
400,Depreciation,A decrease in the value of an investment.
401,Deregulation,The act of reducing government regulation in order to allow more free markets to create a more efficient marketplace. Some government oversight usually remains after deregulation.
402,Designated Investment Alternative,"The investment options selected and monitored by your plan into which participants can direct the investment of their plan accounts. Sometimes referred to as ""permissible investment options"" or ""investment options""."
403,Details,"These are high-level facts about a fund that an investor can use to help evaluate an investment option, including total net assets of a fund, expense ratio, and the current net asset value of the fund."
404,Developing Markets,"Also known as emerging markets, developing markets are generally defined as those countries having a low-to-middle per capita income and in the process of developing existing or newly created market-based economies."
405,Directed Trustee,"A person or entity (e.g., bank, trust company, or other organization) that is responsible for the safekeeping of trust assets, but generally has no decision making authority over the assets."
406,Discount,The difference between a bond's current market price and its face or redemption value.
407,Distribution and/or service fee(12b-1) Fees,"The 12b-1 fee represents the maximum annual charge deducted from fund assets to pay for distribution and marketing costs. Total 12b-1 fees, excluding loads, are capped at 1.00% of average net assets annually. Of this, the distribution and marketing portion of the fee may account for up to 0.75%. The other portion of the overall 12b-1 fee, the service fee, may account for up to 0.25%."
408,Distributions,The percentage of a fund's capital gains paid out to shareholders as distributions.
410,Diversified Emerging Markets,"Diversified emerging-markets portfolios tend to divide their assets among 20 or more nations, although they tend to focus on the emerging markets of Asia and Latin America rather than on those of the Middle East, Africa, or Europe. These portfolios invest at least 70% of total assets in equities and invest at least 50% of stock assets in emerging markets."
411,Diversified Pacific/Asia,"Diversified Pacific/Asia stock portfolios have a wider investment range than other Asia-oriented portfolios. These portfolios can invest throughout the Pacific Rim, including Australia and New Zealand. As a result, country weightings for these portfolios vary tremendously, though most retain some exposure to Japan and Hong Kong. These portfolios invest at least 70% of total assets in equities and invest at least 75% of stock assets in Pacific countries, including at least 10% in Japan."
413,Dollar-Cost-Averaging,"With dollar-cost-averaging, you invest a fixed amount on a regular basis - regardless of the current market trends. The investor buys more shares when the price is low and fewer shares when the price is high; the overall cost is lower than it would be if a constant number of shares were bought at set intervals. Dollar-cost-averaging does not assure a profit or protect against a loss in a declining market."
414,Domestic Bond,A bond denominated in the currency of the country in which it is issued.
415,Duration,"Duration is a measure of a security's price sensitivity to changes in interest rates. Duration differs from maturity in that it considers a security's interest payments in addition to the amount of time until the security reaches maturity, and also takes into account certain maturity shortening features (e.g., demand features, interest rate resets, and call options) when applicable. Securities with longer durations generally tend to be more sensitive to interest rate changes than securities with shorter durations. A fund with a longer average duration generally can be expected to be more sensitive to interest rate changes than a fund with a shorter average duration."
416,Earnings Per Share (EPS),A measure of a company's earnings or profitability. EPS is calculated by dividing net income for the past 12 months by the number of outstanding common shares of the company.
417,Emerging Market,A securities market that is of smaller size or that has a short operating history.
418,Emerging Market Fund,A fund that invests primarily in emerging market countries.
419,Emerging-Markets Bond,"Emerging-markets bond portfolios invest more than 65% of their assets in foreign bonds from developing countries. The largest portion of the emerging-markets bond market comes from Latin America, followed by Eastern Europe. Africa, the Middle East, and Asia make up the rest."
420,Employee Stock Ownership Plan (ESOP),A type of employee benefit plan that invests primarily in stock of the company sponsoring the retirement plan.
421,Employer Securities,See Company Stock.
422,Equity Energy,"Equity energy portfolios invest primarily in equity securities of U.S. or non-U.S. companies who conduct business primarily in energy-related industries. This includes and is not limited to companies in alternative energy, coal, exploration, oil and gas services, pipelines, natural gas services, and refineries."
423,Equity Fund,A fund that invests primarily in equities.
424,Equity Precious Metals,"Precious-metals portfolios focus on mining stocks, though some do own small amounts of gold bullion. Most portfolios concentrate on gold-mining stocks, but some have significant exposure to silver-, platinum-, and base-metal-mining stocks as well. Precious-metals companies are typically based in North America, Australia, or South Africa."
425,Equity Wash,Equity wash is a provision of a stable value product whereby direct transfers between certain competing funds must be directed to an equity fund or other non-competing fund option of the plan for a stated period of time (usually 90 days) before such transferred funds may be directed to any other plan-provided competing fixed income option.
426,Equity/Equities,"A security or investment representing an ownership in a corporation, unlike a bond, which represents a loan to a borrower. Often used interchangeably with ""stock."
427,Equity-Income,Funds with this objective are expected to pursue current income by investing at least 65% of their assets in dividend-paying equity securities.
428,Eurobond,An international bond issued and traded outside the country of the borrower and outside the regulations of a single country. Also called a global bond.
429,Eurodollar,U.S. dollars held by foreign institutions outside the United States. Commonly used for settlement of international transactions.
430,Europe Stock,"Europe-stock portfolios invest at least 70% of total assets in equities and invest at least 75% of stock assets in Europe. Most of these portfolios emphasize the region's larger and more developed markets, including Britain, the Netherlands, Germany, France, and Switzerland.  Many also invest in the region's smaller markets, including the emerging markets of eastern Europe."
431,Excessive Trading,A policy that limits the number of times you can exchange into and out of a fund within a given time frame. This is intended to discourage frequent trading that increases the costs to all the fund's investors. Also referred to as Frequent Trading New .
432,Exchange Rate,The price at which one currency trades for another.
433,Exchange Traded Fund (ETF),"A security that tracks an index and represents a basket of stocks like an index mutual fund, but trades like a stock on an exchange."
434,Ex-Dividend Date,The day that a fund's Board of Directors declares the amount of income or capital gain to be distributed to shareholders and deducts that amount from the fund's net asset value.
435,Exp Cap (Board),"Expense Cap is a limit that the fund company has placed on the level of the expenses borne by the fund. The cap is contractual and indicates the maximum level of expenses (with certain exceptions) that the fund would be paying at that time. Subject to board approval, the Expense Cap may be terminated or revised, which may lower the fund's yield and return."
436,Expense Cap,Expense cap is a limit that has been placed on the level of the expenses borne by the fund.
437,Expense Cap (Shareholder),"Expense Cap is a limit that the fund company has placed on the level of the expenses borne by the fund. The cap is contractual and indicates the maximum level of expenses (with certain exceptions) that the fund would be paying at that time. Subject to share holder approval, the Expense Cap may be terminated or revised, which may lower the fundï¿½s yield and return."
438,Expense Cap (Voluntary),"Expense Cap is a limit that the fund company has placed on the level of the expenses borne by the fund. The cap is voluntary and indicates the maximum level of expenses (with certain exceptions) that the fund would be paying at that time. The Expense Cap may be terminated or revised at any time, which may lower the fund's yield and return."
439,Expense Ratio (Gross),"Expense ratio is a measure of what it costs to operate an investment, expressed as a percentage of its assets, as a dollar amount, or in basis points. These are costs the investor pays through a reduction in the investment's rate of return. For a mutual fund, the gross expense ratio is the total annual fund or class operating expenses from the fund's most recent prospectus (before waivers or reimbursements) paid by the fund. If the investment option is not a mutual fund, the expense ratio may be calculated using methodologies that differ from those used for mutual funds.

Keep in mind the cumulative effect of fees and expenses can substantially reduce the growth of your retirement savings, but is only one of many factors to consider when you decide to invest in an option. Visit theDepartment of Labor's websitefor an example of the long-term effect of fees and expenses."
440,Expense Ratio (Net),"Expense ratio is a measure of what it costs to operate an investment, expressed as a percentage of its assets, as a dollar amount, or in basis points.  These are costs the investor pays through a reduction in the investment's rate of return.  For a mutual fund, the net expense ratio is the total annual fund or class operating expense from the fund's most recent prospectus, after any fee waiver and/or expense reimbursements that will reduce any fund operating expenses for no less than one year from the effective date of the fund's registration statement. This number does not include any fee waiver arrangement or expense reimbursement that may be terminated without agreement of the fund's board of trustees during the one-year period.  If the investment option is not a mutual fund, the expense ratio may be calculated using methodologies that differ from those used for mutual funds."
441,FDIC (Federal Deposit Insurance Corporation),"A federal agency that insures funds on deposit (currently up to $250,000) in member banks and thrift institutions."
442,"Federal Home Mortgage Corporation (FHLMC or ""Freddie Mac"")",A federally created corporation established to facilitate the financing of single-family residential housing by creating and maintaining an active secondary market for conventional home mortgages.
443,"Federal National Mortgage Association (FNMA or ""Fannie Mae"")",A government-sponsored private corporation authorized to purchase and sell mortgages and to otherwise facilitate the orderly operation of a secondary market for home mortgages.
444,Fee Table,"The mutual fund prospectus table that describes the fee structure of the mutual fund, including fees paid by investors when they buy or sell fund shares and the fees and other expenses paid directly by the fund."
445,Fee Waivers,"From time to time, portions of a fund's expenses are waived for a certain period. Fee waivers increase a fund's yield and total return. Fee waivers are outlined in fund prospectuses. Contact the fund's distributor to ensure that the waiver is still active at the time of investment."
